N9721	health	nutrition	50 Foods You Should Never Eat, According to Health Experts	This is so depressing.	https://assets.msn.com/labs/mind/AABDHTv.html	[]	[]
N14742	movies	movies-celebrity	Keanu Reeves Holds Hands with Artist Alexandra Grant on the Red Carpet	Keanu Reeves Holds Hands with Frequent Collaborator and Artist	https://assets.msn.com/labs/mind/AAJQQrz.html	[]	"[{""Label"": ""Collaborator (film)"", ""Type"": ""W"", ""WikidataId"": ""Q5145864"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""Collaborator""]}]"
N23864	health	nutrition	Here's Exactly What Kristen Bell Eats in a Day to Make 39 Look Like 29	Find out how the actress, entrepreneur, activist and mom of two ages with grace.	https://assets.msn.com/labs/mind/AAJm1H7.html	"[{""Label"": ""Kristen Bell"", ""Type"": ""P"", ""WikidataId"": ""Q178882"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Kristen Bell""]}]"	[]
N33222	sports	football_nfl	Farmer: Jalen Ramsey's Rams debut shows what's around corner for their defense	"Everyone knew Rams cornerback Jalen Ramsey was fluid, but who knew he'd be so fluent? After two practices with his new team, he slipped right into the lineup on the third play Sunday, and   going against All-Pro receiver Julio Jones for the first time   needed no interpreter for the coded language that job entails. ""Honestly, I was impressed he understood what I was saying pre-snap,"" said ..."	https://assets.msn.com/labs/mind/AAJ5eGa.html	"[{""Label"": ""Jalen Ramsey"", ""Type"": ""P"", ""WikidataId"": ""Q18631600"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Jalen Ramsey""]}, {""Label"": ""Los Angeles Rams"", ""Type"": ""O"", ""WikidataId"": ""Q337377"", ""Confidence"": 0.915, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""Rams""]}]"	"[{""Label"": ""Jalen Ramsey"", ""Type"": ""P"", ""WikidataId"": ""Q18631600"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""Jalen Ramsey""]}, {""Label"": ""Los Angeles Rams"", ""Type"": ""O"", ""WikidataId"": ""Q337377"", ""Confidence"": 0.915, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""Rams""]}, {""Label"": ""Julio Jones"", ""Type"": ""P"", ""WikidataId"": ""Q3738021"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [221], ""SurfaceForms"": [""Julio Jones""]}]"
N56787	news	newsscienceandtechnology	Slack looks to richer apps to help it fend off Microsoft Teams	More functional and interactive apps are on the way	https://assets.msn.com/labs/mind/AAJaTib.html	"[{""Label"": ""Slack (software)"", ""Type"": ""W"", ""WikidataId"": ""Q17130715"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Slack""]}]"	[]
N24591	lifestyle	lifestylebuzz	A heartbreaking photo of a dog riding a bus alone went viral, and now people want to adopt her	A kennel is seeking the dog's owner. If no one comes forward, she will be put up for adoption.	https://assets.msn.com/labs/mind/AAJm1JF.html	[]	[]
N47558	health	wellness	Aubrey O'Day Responded to Critics Who Say Plastic Surgery Has Dramatically Changed Her Appearance	"I look in the mirror. I know what I look like, the 35-year-old singer says. ""I love me! I'm the happiest I've ever been."""	https://assets.msn.com/labs/mind/AAIIX7W.html	"[{""Label"": ""Aubrey O'Day"", ""Type"": ""P"", ""WikidataId"": ""Q2724748"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Aubrey O'Day""]}, {""Label"": ""Plastic surgery"", ""Type"": ""C"", ""WikidataId"": ""Q182442"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""Plastic Surgery""]}, {""Label"": ""Drama"", ""Type"": ""C"", ""WikidataId"": ""Q1366112"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Dramatically""]}]"	[]
N28992	tv	tv-gallery	Where are they now: Facts of Life	Where are they now: Facts of Life	https://assets.msn.com/labs/mind/AAJgpnO.html	"[{""Label"": ""The Facts of Life (TV series)"", ""Type"": ""W"", ""WikidataId"": ""Q2517403"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Facts of Life""]}]"	"[{""Label"": ""The Facts of Life (TV series)"", ""Type"": ""W"", ""WikidataId"": ""Q2517403"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Facts of Life""]}]"
N31274	news	newsworld	Kurds in Turkey increasingly subject to violent hate crimes	An elderly Kurdish man was attacked in hospital; a man and his son were gunned down on the street   and no charges were filed. Human rights experts see a worsening situation due to Turkey's offensive in northern Syria.	https://assets.msn.com/labs/mind/AAJaU1g.html	"[{""Label"": ""Kurds in Turkey"", ""Type"": ""Y"", ""WikidataId"": ""Q1117020"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kurds in Turkey""]}]"	"[{""Label"": ""Turkey"", ""Type"": ""G"", ""WikidataId"": ""Q43"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [181], ""SurfaceForms"": [""Turkey""]}, {""Label"": ""Syria"", ""Type"": ""G"", ""WikidataId"": ""Q858"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [212], ""SurfaceForms"": [""Syria""]}]"
N37003	tv	tv-celebrity	Martha Stewart says Felicity Huffman looks 'schlumpy' in prison	Martha said the actress needs to up her style while in the slammer.	https://assets.msn.com/labs/mind/AAJg2hS.html	"[{""Label"": ""Felicity Huffman"", ""Type"": ""P"", ""WikidataId"": ""Q190519"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Felicity Huffman""]}, {""Label"": ""Martha Stewart"", ""Type"": ""P"", ""WikidataId"": ""Q234606"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Martha Stewart""]}]"	"[{""Label"": ""Martha Stewart"", ""Type"": ""P"", ""WikidataId"": ""Q234606"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Martha""]}]"
N41229	entertainment	entertainment-celebrity	Iconic couples of the decade	We're rounding up the most significant celebrity couples of the last 10 years.	https://assets.msn.com/labs/mind/AAIDCYH.html	[]	[]
N46651	tv	tv-celebrity	'Jersey Shore' Star Angelina Pivarnick Celebrates Bridal Shower With Deena Cortese Amid JWoww Drama	See snaps from the reality TV star's get-together.	https://assets.msn.com/labs/mind/AAJrgk3.html	"[{""Label"": ""Angelina Pivarnick"", ""Type"": ""P"", ""WikidataId"": ""Q113631"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Angelina Pivarnick""]}, {""Label"": ""Deena Nicole Cortese"", ""Type"": ""P"", ""WikidataId"": ""Q5250034"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [69], ""SurfaceForms"": [""Deena Cortese""]}, {""Label"": ""Bridal shower"", ""Type"": ""C"", ""WikidataId"": ""Q2006207"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [50], ""SurfaceForms"": [""Bridal Shower""]}]"	[]
N18342	sports	baseball_mlb	Mets don't know if Yoenis Céspedes will play in 2020	Yoenis Céspedes has not played since 2018 due to heel surgery and a subsequent ankle injury.	https://assets.msn.com/labs/mind/AAJQmDo.html	"[{""Label"": ""Yoenis C\u00e9spedes"", ""Type"": ""P"", ""WikidataId"": ""Q2699194"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Yoenis C\u00e9spedes""]}, {""Label"": ""New York Mets"", ""Type"": ""O"", ""WikidataId"": ""Q692417"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Mets""]}]"	"[{""Label"": ""Yoenis C\u00e9spedes"", ""Type"": ""P"", ""WikidataId"": ""Q2699194"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Yoenis C\u00e9spedes""]}]"
N9317	news	elections-2020-us	The Woman Who Flipped Off Trump Has Won an Election in Virginia	The cyclist who lost her job after giving the middle finger to President Trump's motorcade has found a new one after running for local office and ousting a Republican supervisor in Loudoun County, Va., on Tuesday. The cyclist, Juli Briskman, had been active in local politics before, but in October 2017 she lifted that one specific finger to make a point and ended up gaining the national spotlight. Mr. Trump had just finished a round of golf at...	https://assets.msn.com/labs/mind/AAJX2BU.html	"[{""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.992, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Trump""]}]"	"[{""Label"": ""NANA Development Corporation"", ""Type"": ""O"", ""WikidataId"": ""Q6952311"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [227], ""SurfaceForms"": [""Juli Briskman""]}, {""Label"": ""Loudoun County, Virginia"", ""Type"": ""G"", ""WikidataId"": ""Q495310"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [181], ""SurfaceForms"": [""Loudoun County""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.992, ""OccurrenceOffsets"": [63, 401], ""SurfaceForms"": [""President Trump"", ""Mr. Trump""]}, {""Label"": ""Virginia"", ""Type"": ""G"", ""WikidataId"": ""Q1370"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [197], ""SurfaceForms"": [""Va""]}]"
N20050	sports	football_ncaa	ESPN severs ties with New Mexico Bowl title sponsor, which apparently isn't a real company	The New Mexico Bowl is drawing attention for the wrong reasons.	https://assets.msn.com/labs/mind/AAJm1jp.html	"[{""Label"": ""New Mexico Bowl"", ""Type"": ""E"", ""WikidataId"": ""Q3338981"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [22], ""SurfaceForms"": [""New Mexico Bowl""]}]"	"[{""Label"": ""New Mexico Bowl"", ""Type"": ""E"", ""WikidataId"": ""Q3338981"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""New Mexico Bowl""]}]"
N29911	lifestyle	lifestyleroyals	Meghan Markle and Prince Harry Look Radiant at the WellChild Awards, but When Don't They?	Following their royal tour of Southern Africa, Prince Harry and Meghan Markle stepped out for the annual WellChild Awards in London.	https://assets.msn.com/labs/mind/AAIOTio.html	"[{""Label"": ""Meghan, Duchess of Sussex"", ""Type"": ""N"", ""WikidataId"": ""Q3304418"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Meghan Markle""]}]"	"[{""Label"": ""Southern Africa"", ""Type"": ""U"", ""WikidataId"": ""Q27394"", ""Confidence"": 0.985, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""Southern Africa""]}, {""Label"": ""Wedding of Prince Harry and Meghan Markle"", ""Type"": ""E"", ""WikidataId"": ""Q43890449"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [47], ""SurfaceForms"": [""Prince Harry and Meghan Markle""]}, {""Label"": ""London"", ""Type"": ""G"", ""WikidataId"": ""Q84"", ""Confidence"": 0.971, ""OccurrenceOffsets"": [125], ""SurfaceForms"": [""London""]}]"
N36526	entertainment	entertainment-celebrity	Jason Momoa says his marriage to Lisa Bonet proves 'anything is possible,' plus more news	"Jason Momoa gets giddy about marrying his ""childhood crush,"" Lisa Bonet. Plus, more celebrity news for Oct. 16, 2019."	https://assets.msn.com/labs/mind/AAISUp1.html	"[{""Label"": ""Jason Momoa"", ""Type"": ""P"", ""WikidataId"": ""Q315271"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Jason Momoa""]}, {""Label"": ""Lisa Bonet"", ""Type"": ""P"", ""WikidataId"": ""Q232414"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Lisa Bonet""]}]"	"[{""Label"": ""Jason Momoa"", ""Type"": ""P"", ""WikidataId"": ""Q315271"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Jason Momoa""]}, {""Label"": ""Lisa Bonet"", ""Type"": ""P"", ""WikidataId"": ""Q232414"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [61], ""SurfaceForms"": [""Lisa Bonet""]}]"
N6548	news	newspolitics	Perry, in Trump Ukraine scandal spotlight, resigns in video	Rachel Maddow shares some of a video released by Donald Trump Energy Secretary Rick Perry in which he appears to confirm reports that he is resigning his position.	https://assets.msn.com/labs/mind/AAIYaYx.html	"[{""Label"": ""Rick Perry"", ""Type"": ""P"", ""WikidataId"": ""Q215057"", ""Confidence"": 0.958, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Perry""]}]"	"[{""Label"": ""Rick Perry"", ""Type"": ""P"", ""WikidataId"": ""Q215057"", ""Confidence"": 0.958, ""OccurrenceOffsets"": [79], ""SurfaceForms"": [""Rick Perry""]}, {""Label"": ""United States Secretary of Energy"", ""Type"": ""U"", ""WikidataId"": ""Q1029968"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Energy Secretary""]}, {""Label"": ""Rachel Maddow"", ""Type"": ""P"", ""WikidataId"": ""Q555"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Rachel Maddow""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [49], ""SurfaceForms"": [""Donald Trump""]}]"
N36306	lifestyle	lifestylecelebstyle	Emilia Clarke's Best Red Carpet Looks	See the 'Game of Thrones' star's best style moments.	https://assets.msn.com/labs/mind/AAHWxFf.html	"[{""Label"": ""Emilia Clarke"", ""Type"": ""P"", ""WikidataId"": ""Q235132"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Emilia Clarke""]}]"	"[{""Label"": ""Game of Thrones"", ""Type"": ""W"", ""WikidataId"": ""Q23572"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [9], ""SurfaceForms"": [""Game of Thrones""]}]"
N55743	lifestyle	lifestylehomeandgarden	17 photos that show the ugly truth of living in a tiny house	From cramped lofts that are hard to access to small appliances, this is what it's really like to live in a tiny house.	https://assets.msn.com/labs/mind/AAIxpie.html	[]	[]
N2030	finance	markets	Hong Kong is sinking into a recession with no recovery in sight	Hong Kong is facing its first recession since the global financial crisis, with little prospect of an immediate recovery as the city confronts its most violent protests in decades.	https://assets.msn.com/labs/mind/AAIxpo7.html	"[{""Label"": ""Hong Kong"", ""Type"": ""G"", ""WikidataId"": ""Q8646"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Hong Kong""]}]"	"[{""Label"": ""Hong Kong"", ""Type"": ""G"", ""WikidataId"": ""Q8646"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Hong Kong""]}]"
N61319	sports	football_ncaa	After throwing a punch, Dabo Swinney made CB Andrew Booth ride the manager bus back to Clemson		https://assets.msn.com/labs/mind/AAJ5fq6.html	"[{""Label"": ""Dabo Swinney"", ""Type"": ""P"", ""WikidataId"": ""Q5207523"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""Dabo Swinney""]}]"	[]
N34316	movies	movies-celebrity	Jane Fonda Arrested While Protesting in D.C.	The actress was demonstrating on the Capitol with the group Oil Change International.	https://assets.msn.com/labs/mind/AAIDD6z.html	"[{""Label"": ""Washington, D.C."", ""Type"": ""G"", ""WikidataId"": ""Q61"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [40], ""SurfaceForms"": [""D.C.""]}]"	"[{""Label"": ""Capitol Records"", ""Type"": ""O"", ""WikidataId"": ""Q193023"", ""Confidence"": 0.984, ""OccurrenceOffsets"": [37], ""SurfaceForms"": [""Capitol""]}]"
N24002	lifestyle	lifestylebuzz	This Percentage of Americans Have Never Left the State They Were Born	For some, home really is the best place in the universe. The post This Percentage of Americans Have Never Left the State They Were Born appeared first on Reader's Digest.	https://assets.msn.com/labs/mind/AAIAVDv.html	[]	"[{""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [154], ""SurfaceForms"": [""Reader's Digest""]}]"
N11449	news	newspolitics	Mattis jokes about Trump's 'overrated general' comment	"Former Defense Secretary James Mattis made the joking remarks at the annual Alfred E. Smith Dinner, after President Donald Trump demeaned him as ""the world's most overrated general"" during a meeting."	https://assets.msn.com/labs/mind/AAIYbqv.html	"[{""Label"": ""Jim Mattis"", ""Type"": ""P"", ""WikidataId"": ""Q267902"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Mattis""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Trump""]}]"	"[{""Label"": ""Jim Mattis"", ""Type"": ""P"", ""WikidataId"": ""Q267902"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""James Mattis""]}, {""Label"": ""Alfred E. Smith Memorial Foundation Dinner"", ""Type"": ""E"", ""WikidataId"": ""Q2835103"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [76], ""SurfaceForms"": [""Alfred E. Smith Dinner""]}, {""Label"": ""United States Secretary of Defense"", ""Type"": ""K"", ""WikidataId"": ""Q735015"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""Defense Secretary""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [106], ""SurfaceForms"": [""President Donald Trump""]}]"
N48582	finance	personalfinance	Bill O'Reilly said he doubts mom works 4 jobs. She says he 'doesn't have a clue'	Gina Giambone says she actually juggles 5 part-time gigs to earn enough for her and her adult special-needs daughter	https://assets.msn.com/labs/mind/AAITecN.html	"[{""Label"": ""Bill O'Reilly (political commentator)"", ""Type"": ""P"", ""WikidataId"": ""Q310953"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Bill O'Reilly""]}]"	[]
N6318	news	newspolitics	What Happened in the Impeachment Inquiry This Week?	Well, that escalated quickly.	https://assets.msn.com/labs/mind/AAJ1Qtf.html	[]	[]
N60346	sports	baseball_mlb	Report: Yankees believe Astros were stealing signs by whistling in Game 1 of ALCS	According to a report, a Yankees coach noticed a whistling sound coming from the Houston dugout before certain pitches during the ALCS opener at Minute Maid Park.	https://assets.msn.com/labs/mind/AAISVEZ.html	"[{""Label"": ""New York Yankees"", ""Type"": ""O"", ""WikidataId"": ""Q213417"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Yankees""]}, {""Label"": ""Houston Astros"", ""Type"": ""O"", ""WikidataId"": ""Q848117"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""Astros""]}]"	"[{""Label"": ""Minute Maid Park"", ""Type"": ""S"", ""WikidataId"": ""Q1193671"", ""Confidence"": 0.967, ""OccurrenceOffsets"": [81, 145], ""SurfaceForms"": [""Houston"", ""Minute Maid Park""]}, {""Label"": ""New York Yankees"", ""Type"": ""O"", ""WikidataId"": ""Q213417"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""Yankees""]}]"
N60895	health	voices	Why I Stayed in An Abusive Relationship	Leaving an abusive relationship is harder than you think.	https://assets.msn.com/labs/mind/AAJsX0v.html	"[{""Label"": ""Relational aggression"", ""Type"": ""C"", ""WikidataId"": ""Q8191685"", ""Confidence"": 0.958, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Abusive Relationship""]}]"	"[{""Label"": ""Relational aggression"", ""Type"": ""C"", ""WikidataId"": ""Q8191685"", ""Confidence"": 0.958, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""abusive relationship""]}]"
N60625	music	music-celebrity	Selena Gomez opens up about moving on from a certain pop star, plus more news	"Selena Gomez opens up about her ""new chapte"" Plus, more celebrity news for Oct. 25, 2019."	https://assets.msn.com/labs/mind/AAJm2oS.html	"[{""Label"": ""Selena Gomez"", ""Type"": ""P"", ""WikidataId"": ""Q83287"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Selena Gomez""]}]"	"[{""Label"": ""Selena Gomez"", ""Type"": ""P"", ""WikidataId"": ""Q83287"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Selena Gomez""]}]"
N16484	sports	baseball_mlb	10 players receive qualifying offers	Stephen Strasburg, Anthony Rendon, and Gerrit Cole were among the 10 free agents who received $17.8 million qualifying offers from their teams on Monday.	https://assets.msn.com/labs/mind/AAJQTEe.html	[]	"[{""Label"": ""Stephen Strasburg"", ""Type"": ""P"", ""WikidataId"": ""Q1192310"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Stephen Strasburg""]}, {""Label"": ""Anthony Rendon"", ""Type"": ""P"", ""WikidataId"": ""Q4773350"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Anthony Rendon""]}, {""Label"": ""Gerrit Cole"", ""Type"": ""P"", ""WikidataId"": ""Q5552563"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""Gerrit Cole""]}]"
N17401	lifestyle	lifestylebuzz	The First Full Look at Hailey Baldwin's Vera Wang Wedding Reception Dress Is Here	She wore a different high-neck dress too at her reception.	https://assets.msn.com/labs/mind/AAIDE0k.html	"[{""Label"": ""Hailey Baldwin"", ""Type"": ""P"", ""WikidataId"": ""Q20983703"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""Hailey Baldwin""]}]"	[]
N49009	autos	autosclassics	Top 10 Highest Priced Cars Sold At DC Solar Scam Auction	Here are the top 10 highest priced vehicles that were sold off from the largest single car collection that the U.S. Marshals Service has ever sold.	https://assets.msn.com/labs/mind/AAJrhxw.html	[]	[]
N36346	news	newspolitics	Gordon Sondland, Trump envoy and key figure in impeachment probe, faces criticism over $1 million taxpayer-funded home renovation	The project includes a $209,000 professional kitchen and a $223,000 family kitchen.	https://assets.msn.com/labs/mind/AAITgHC.html	"[{""Label"": ""Gordon Sondland"", ""Type"": ""P"", ""WikidataId"": ""Q5585845"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Gordon Sondland""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""Trump""]}]"	[]
N3566	sports	football_nfl	NFL teams reportedly believe Browns could trade Odell Beckham if struggles continue	The Browns are teetering on the verge of complete disaster, and that could lead to some major changes this offseason.	https://assets.msn.com/labs/mind/AAJX3tK.html	"[{""Label"": ""Cleveland Browns"", ""Type"": ""O"", ""WikidataId"": ""Q223527"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Browns""]}, {""Label"": ""Odell Beckham Jr."", ""Type"": ""P"", ""WikidataId"": ""Q16212482"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Odell Beckham""]}, {""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""NFL""]}]"	"[{""Label"": ""Cleveland Browns"", ""Type"": ""O"", ""WikidataId"": ""Q223527"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Browns""]}]"
N47525	news	newsus	California governor pardons 3 convicted immigrants to help block deportations	California Gov. Gavin Newsom, a Democrat, on Friday announced he's pardoning three immigrants who committed crimes as part of an effort to protect them from being deported back to their home countries.	https://assets.msn.com/labs/mind/AAJ1Sia.html	"[{""Label"": ""Governor of California"", ""Type"": ""K"", ""WikidataId"": ""Q887010"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""California governor""]}]"	"[{""Label"": ""Governor of California"", ""Type"": ""K"", ""WikidataId"": ""Q887010"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Gov.""]}, {""Label"": ""Gavin Newsom"", ""Type"": ""P"", ""WikidataId"": ""Q461391"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [16], ""SurfaceForms"": [""Gavin Newsom""]}, {""Label"": ""Democratic Party (United States)"", ""Type"": ""O"", ""WikidataId"": ""Q29552"", ""Confidence"": 0.984, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""Democrat""]}, {""Label"": ""California"", ""Type"": ""G"", ""WikidataId"": ""Q99"", ""Confidence"": 0.92, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""California""]}]"
N8229	foodanddrink	quickandeasy	Thanksgiving dishes you can make ahead and freeze	You can prepare numerous dishes ahead of time and freeze them for Thanksgiving, easing the stress and making you feel less like a turkey.	https://assets.msn.com/labs/mind/AAJaVOE.html	[]	[]
N24578	entertainment	celebrity	Week in celebrity photos for Oct. 28-Nov. 1, 2019	See what the stars were up to during the last week of October.	https://assets.msn.com/labs/mind/AAJsXdi.html	[]	[]
N40692	sports	football_nfl	Orlando Scandrick rips Eagles: They have 'accountability issues'	Orlando Scandrick found himself released on Monday, one day after surrendering the first touchdown of the Week 7 game against his former team, the Dallas Cowboys.	https://assets.msn.com/labs/mind/AAJm37S.html	"[{""Label"": ""Orlando Scandrick"", ""Type"": ""P"", ""WikidataId"": ""Q7103181"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Orlando Scandrick""]}, {""Label"": ""Philadelphia Eagles"", ""Type"": ""O"", ""WikidataId"": ""Q219714"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""Eagles""]}]"	"[{""Label"": ""Orlando Scandrick"", ""Type"": ""P"", ""WikidataId"": ""Q7103181"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Orlando Scandrick""]}, {""Label"": ""Dallas Cowboys"", ""Type"": ""O"", ""WikidataId"": ""Q204862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [147], ""SurfaceForms"": [""Dallas Cowboys""]}]"
N42528	movies	movies-celebrity	Lindsay Lohan's dad weighs in on her relationship with the Saudi crown prince	Michael Lohan denies that Lindsay is dating the controversial royal known as MBS but acknowledges that they're friends.	https://assets.msn.com/labs/mind/AAJAumK.html	"[{""Label"": ""Lindsay Lohan"", ""Type"": ""P"", ""WikidataId"": ""Q44903"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Lindsay Lohan""]}, {""Label"": ""Crown Prince of Saudi Arabia"", ""Type"": ""K"", ""WikidataId"": ""Q12251224"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [59], ""SurfaceForms"": [""Saudi crown prince""]}]"	"[{""Label"": ""Lindsay Lohan"", ""Type"": ""P"", ""WikidataId"": ""Q44903"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Lindsay""]}, {""Label"": ""Mohammad bin Salman"", ""Type"": ""P"", ""WikidataId"": ""Q6892571"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [77], ""SurfaceForms"": [""MBS""]}, {""Label"": ""Michael Lohan"", ""Type"": ""P"", ""WikidataId"": ""Q4267518"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Michael Lohan""]}]"
